PUMFID,CS_05A,CS_05B,CS_05C,CS_05D,CS_05E,CS_05F,CS_05G,CS_05H,CS_05I,CS_05J,CS_05K,CS_05L,CS_05M,CS_05N,CS_10A,CS_10B,CS_10C,CS_10D,CS_10EF,CS_10G,CS_15A,CS_15B,CS_15C,CS_15D,CS_15G,CS_15H,CS_15J,CS_15K,CS_15L,CS_15EFI,PCS_20A,PCS_20B,PCS_20C,PCS_20D,PCS_20E,CS_25A,CS_25B,CS_25C,CS_25D,CS_25E,CS_25F,CS_25G,CS_25H,CS_25I,CS_25J,CS_30AA,CS_30AB,CS_30AC,CS_30AD,CS_30AE,CS_30BA,CS_30BB,CS_30BC,CS_30BD,CS_30BE,CS_30CA,CS_30CB,CS_30CC,CS_30CD,CS_30CE,CS_30DA,CS_30DB,CS_30DC,CS_30DD,CS_30DE,CS_30EA,CS_30EB,CS_30EC,CS_30ED,CS_30EE,CS_30FA,CS_30FB,CS_30FC,CS_30FD,CS_30FE,CS_30GA,CS_30GB,CS_30GC,CS_30GD,CS_30GE,CS_30HA,CS_30HB,CS_30HC,CS_30HD,CS_30HE,CS_30IA,CS_30IB,CS_30IC,CS_30ID,CS_30IE,CS_30JA,CS_30JB,CS_30JC,CS_30JD,CS_30JE,CS_35A,CS_35B,CS_35C,CS_35D,CS_35E,CS_40A,CS_40B,CS_40C,CS_40D,CS_40E,CS_40F,CS_40G,CS_40H,CS_40I,CS_40J,CS_40K,PCS_45A,PCS_45B,PCS_45C,PCS_45D,PCS_45E,PCS_45F,PCS_45G,PCS_45H,CPD_05A,CPD_05B,CPD_05C,CPD_05D,CPD_05E,CPD_05F,CPD_10A,CPD_10B,CPD_10C,CPD_10D,CPD_10E,CPD_10F,CPD_10G,CPD_10H,CPD_10I,CPD_10JC,CPD_10K,CPD_10L,HHLDSIZC,AGEGRP,IMMIGRNC,SEX,PCHILD,MARSTATC,PDWELCDC,PEDUC_LC,RURURB,PERS_WGT,VERDATE
6032,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,4,4,2,4,2,1,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,2,1,2,2,2,1,1,4,2,4,2,2,3,2,1,1,4,4,4,3,4,2,3,3,1,1,1,2,1,3,2,25437.5431,18/12/2020
6033,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,7,1,2,0,1,3,2,2,41640.3721,18/12/2020
6034,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,4,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,1,2,2,2,2,2,4,4,2,4,2,2,3,4,2,4,4,4,3,2,3,2,2,6,1,2,0,1,1,7,2,4025.9222,18/12/2020
6035,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,2,4,2,2,4,2,4,1,2,4,4,4,1,2,4,4,3,4,1,2,6,1,1,0,1,1,7,2,1209.7424,18/12/2020
6036,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,6,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,2,1,2,4,4,1,4,1,4,4,4,4,4,4,3,4,3,4,2,1,5,1,2,0,4,1,4,1,1028.0861,18/12/2020
6037,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,2,2,1,2,2,1,1,2,1,2,2,2,1,1,1,2,2,1,1,2,3,2,2,2,1,2,1,1,1,1,1,2,2,1,3,2,3,1,3,6,1,1,0,1,1,6,1,4618.6834,18/12/2020
6038,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,4,2,2,4,1,1,0,1,1,4,1,5863.3536,18/12/2020
6039,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,1,4,4,4,4,4,4,2,2,4,4,2,4,4,4,4,3,4,2,3,4,1,1,0,2,1,3,2,3752.5113,18/12/2020
6040,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,4,2,1,4,4,2,2,2,4,2,6,6,6,6,6,6,6,6,6,6,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,4,4,2,4,1,3,4,1,2,4,1,4,4,3,2,2,2,2,1,2,0,2,2,4,2,12164.401,18/12/2020
6041,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,4,2,4,4,2,4,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,1,1,2,2,2,2,2,1,2,4,4,2,4,1,2,1,1,1,2,4,4,4,2,3,2,2,6,2,2,0,2,3,7,2,15574.9473,18/12/2020
