PUMFID,Audio_Streaming,Video_Streaming,HouseholdSize,Age,Martial.Status,Education.Level,Sex,Residence.Area,Precaution,Edu_Services,Reported,Incident,Inform_Services,Loss,OnlineShopping,Social_Media_Use,WFH
6032,Increase,Increase,3,35 to 44 years old,Living common-law,Trade certificate or diploma,Male,Urban,More,Not Applicable,Yes,Yes,Same,No,Yes,Same,No
6034,Not Applicable,Same,2,65 to 74 years old,Married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Not Applicable,Yes,Yes,Same,Yes,Yes,Same,Yes
6035,Same,Same,2,65 to 74 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Not Applicable,Yes
6036,Not Applicable,Same,1,55 to 64 years old,Single/Never married,College/CEGEP/other non-university certificate or diploma,Female,Rural,More,Not Applicable,No,No,Increase,No,Yes,Increase,No
6037,Same,Same,3,65 to 74 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Rural,More,Same,No,Yes,Increase,No,Yes,Decrease,Yes
6038,Same,Same,2,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Rural,Not More,Same,Yes,Yes,Same,No,Yes,Same,Yes
6040,Not Applicable,Same,2,25 to 34 years old,Living common-law,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,No,Yes,Same,No,Yes,Same,No
6041,Not Applicable,Same,2,65 to 74 years old,Living common-law,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Not Applicable,No,Yes,Same,Yes,Yes,Increase,No
6042,Not Applicable,Same,1,45 to 54 years old,Widowed/Separated/Divorced,University certificate or diploma below the bachelor’s level,Female,Urban,Not More,Not Applicable,No,Yes,Increase,No,Yes,Same,No
6045,Same,Increase,2,55 to 64 years old,Single/Never married,College/CEGEP/other non-university certificate or diploma,Male,Rural,Not More,Same,Yes,Yes,Increase,Yes,Yes,Increase,No
6047,Same,Same,2,55 to 64 years old,Married,High school diploma or a high school equivalency certificate,Female,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6048,Same,Same,2,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Rural,More,Same,No,No,Same,No,Yes,Same,No
6049,Same,Same,2,55 to 64 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6050,Not Applicable,Same,1,45 to 54 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Same,No,Yes,Increase,No,Yes,Increase,No
6051,Same,Same,3,45 to 54 years old,Married,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Same,No,Yes,Same,No,Yes,Same,No
6052,Not Applicable,Increase,2,55 to 64 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Not Applicable,No,Yes,Increase,No,Yes,Not Applicable,Yes
6053,Not Applicable,Increase,2,75 years and older,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Increase,No,No,Same,No,Yes,Increase,No
6054,Not Applicable,Same,2,65 to 74 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Not Applicable,No,No,Same,No,Yes,Same,No
